estu_nacionalidad	estu_depto_reside	estu_mcpio_reside	estu_estudiante	estu_nse_individual	estu_nse_establecimiento	punt_lectura_critica	punt_matematicas	punt_c_naturales	punt_sociales_ciudadanas	punt_ingles	punt_global	cole_jornada	cole_naturaleza	cole_area_ubicacion	fami_estratovivienda	estu_edad	estu_genero	fami_situacioneconomica	fami_comecarnepescadohuevo	fami_numlibros	estu_dedicacionlecturadiaria	estu_dedicacioninternet	fami_tienecomputador	tiene_vehiculo	edu_max_padres	hacinamiento	trabaja_cat	glo	cole_tipo
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	4	59	49	52	45	60	260	COMPLETA	NO OFICIAL	URBANO	Estrato 4	Edad.15a16	F	Mejor	Todos o casi todos los días	11 A 25 LIBROS	Entre 30 y 60 minutos	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/No_Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	2	2	37	34	36	31	29	170	UNICA	OFICIAL	RURAL	Estrato 2	Edad.17a18	M	Igual	Todos o casi todos los días	11 A 25 LIBROS	No leo por entretenimiento	30 minutos o menos	No	VEH.Sí	Edu.Bachiller	HAC.NO	Trabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	2	60	55	49	53	50	270	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Igual	Todos o casi todos los días	0 A 10 LIBROS	Entre 1 y 2 horas	Más de 3 horas	No	VEH.No	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	2	59	51	42	43	55	246	TARDE	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Peor	1 o 2 veces por semana	11 A 25 LIBROS	No leo por entretenimiento	No Navega Internet	No	VEH.No	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	2	40	34	42	33	39	187	MAÑANA	OFICIAL	URBANO	Estrato 1	Edad.17a18	M	Igual	Todos o casi todos los días	0 A 10 LIBROS	30 minutos o menos	Más de 3 horas	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	53	56	50	50	63	265	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	Todos o casi todos los días	11 A 25 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	ORTEGA	ESTUDIANTE	1	2	33	29	33	39	40	170	MAÑANA	OFICIAL	RURAL	Estrato 6	Edad.15a16	F	Mejor	Todos o casi todos los días	0 A 10 LIBROS	No leo por entretenimiento	30 minutos o menos	No	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	ARMERO	ESTUDIANTE	1	1	48	45	42	46	50	228	MAÑANA	OFICIAL	RURAL	Estrato 2	Edad.15a16	F	Peor	Nunca o rara vez comemos eso	0 A 10 LIBROS	30 minutos o menos	30 minutos o menos	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.MBajo	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	4	57	59	51	55	70	283	MAÑANA	NO OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Peor	Todos o casi todos los días	11 A 25 LIBROS	No leo por entretenimiento	Más de 3 horas	Si	VEH.No	Edu.Técnico	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/No_Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	2	2	49	62	55	51	53	271	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	M	Igual	3 a 5 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	2	2	52	49	42	39	46	228	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	F	Igual	Todos o casi todos los días	0 A 10 LIBROS	Entre 1 y 2 horas	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.SI	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	CAJAMARCA	ESTUDIANTE	2	2	53	62	51	52	42	268	UNICA	OFICIAL	RURAL	Estrato 2	Edad.17a18	M	Igual	Todos o casi todos los días	0 A 10 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Primaria	HAC.NO	Trabaja	Glo.MAlto	Rural/Oficial
COLOMBIA	TOLIMA	SAN ANTONIO	ESTUDIANTE	2	2	44	37	33	26	34	175	MAÑANA	OFICIAL	RURAL	Sin Estrato	Edad.17a18	F	Igual	Todos o casi todos los días	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	Si	VEH.Sí	Edu.Primaria	HAC.NO	NoTrabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	4	66	62	62	62	100	329	COMPLETA	NO OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Mejor	Todos o casi todos los días	26 A 100 LIBROS	Entre 30 y 60 minutos	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Alto	Urbano/No_Oficial
COLOMBIA	TOLIMA	CASABIANCA	ESTUDIANTE	1	2	53	45	47	41	43	231	UNICA	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Igual	Todos o casi todos los días	11 A 25 LIBROS	30 minutos o menos	30 minutos o menos	No	VEH.Sí	Edu.Primaria	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	3	42	61	47	41	40	236	UNICA	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Igual	3 a 5 veces por semana	11 A 25 LIBROS	30 minutos o menos	30 minutos o menos	Si	VEH.No	Edu.Bachiller	HAC.NO	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	ICONONZO	ESTUDIANTE	4	2	60	48	43	48	47	248	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Mejor	Todos o casi todos los días	11 A 25 LIBROS	No leo por entretenimiento	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	3	70	70	61	61	67	328	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Peor	Todos o casi todos los días	0 A 10 LIBROS	No leo por entretenimiento	Entre 30 y 60 minutos	No	VEH.No	Edu.Bachiller	HAC.SI	Trabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	3	60	51	36	42	28	229	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	Todos o casi todos los días	0 A 10 LIBROS	No leo por entretenimiento	Más de 3 horas	No	VEH.No	Edu.Bachiller	HAC.SI	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	45	34	37	33	39	187	UNICA	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Mejor	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	Más de 3 horas	No	VEH.No	Edu.Bachiller	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	2	3	40	32	30	36	33	172	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	1 o 2 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 1 y 3 horas	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	49	50	43	44	32	227	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Igual	1 o 2 veces por semana	26 A 100 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	No	VEH.Sí	Edu.Profesional	HAC.SI	Trabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	2	64	65	63	47	56	297	TARDE	OFICIAL	URBANO	Sin Estrato	Edad.15a16	M	Igual	Todos o casi todos los días	26 A 100 LIBROS	No leo por entretenimiento	Más de 3 horas	Si	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	2	56	46	41	50	38	237	MAÑANA	OFICIAL	URBANO	Estrato 1	Edad.17a18	M	Igual	Todos o casi todos los días	0 A 10 LIBROS	No leo por entretenimiento	Más de 3 horas	No	VEH.No	Edu.Primaria	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	CHAPARRAL	ESTUDIANTE	2	2	58	63	50	43	57	269	MAÑANA	OFICIAL	URBANO	Estrato 1	Edad.17a18	F	Igual	Todos o casi todos los días	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 1 y 3 horas	No	VEH.No	Edu.Primaria	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	GUAMO	ESTUDIANTE	3	2	47	39	38	39	46	206	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Mejor	Todos o casi todos los días	0 A 10 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	Si	VEH.Sí	Edu.Bachiller	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	47	55	42	41	45	231	COMPLETA	NO OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Mejor	Todos o casi todos los días	0 A 10 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/No_Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	2	53	45	52	47	53	248	UNICA	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Igual	3 a 5 veces por semana	11 A 25 LIBROS	Entre 1 y 2 horas	Entre 1 y 3 horas	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	CAJAMARCA	ESTUDIANTE	3	2	65	69	69	63	83	339	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Mejor	1 o 2 veces por semana	11 A 25 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	HONDA	ESTUDIANTE	3	2	60	58	61	59	50	294	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Igual	1 o 2 veces por semana	26 A 100 LIBROS	Entre 30 y 60 minutos	Más de 3 horas	No	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	3	63	66	43	60	68	294	TARDE	NO OFICIAL	URBANO	Estrato 3	Edad.15a16	M	Igual	Todos o casi todos los días	11 A 25 LIBROS	No leo por entretenimiento	Más de 3 horas	Si	VEH.No	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Alto	Urbano/No_Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	66	64	62	66	61	321	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	3 a 5 veces por semana	11 A 25 LIBROS	Más de 2 horas	Más de 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	Trabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	SAN SEBASTIÁN DE MARIQUITA	ESTUDIANTE	2	2	40	28	42	39	42	188	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	30 minutos o menos	Entre 1 y 3 horas	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	SAN ANTONIO	ESTUDIANTE	2	2	45	39	39	41	49	208	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Igual	1 o 2 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	Si	VEH.No	Edu.Bachiller	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	PALOCABILDO	ESTUDIANTE	2	2	48	45	48	49	44	236	UNICA	OFICIAL	URBANO	Estrato 1	Edad.15a16	F	Igual	Todos o casi todos los días	26 A 100 LIBROS	Entre 30 y 60 minutos	Más de 3 horas	No	VEH.No	Edu.Profesional	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	2	47	50	43	32	46	216	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	1 o 2 veces por semana	11 A 25 LIBROS	Entre 30 y 60 minutos	30 minutos o menos	No	VEH.Sí	Edu.Primaria	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	ROVIRA	ESTUDIANTE	2	2	44	55	44	50	48	241	MAÑANA	OFICIAL	URBANO	Estrato 1	Edad.15a16	F	Igual	3 a 5 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	30 minutos o menos	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.MBajo	Urbano/Oficial
COLOMBIA	TOLIMA	FRESNO	ESTUDIANTE	1	2	48	57	55	56	49	268	UNICA	OFICIAL	RURAL	Estrato 1	Edad.17a18	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	Más de 2 horas	Entre 30 y 60 minutos	No	VEH.No	Edu.Primaria	HAC.SI	NoTrabaja	Glo.MAlto	Rural/Oficial
COLOMBIA	TOLIMA	ROVIRA	ESTUDIANTE	2	2	33	32	34	29	38	162	MAÑANA	OFICIAL	URBANO	Estrato 1	Edad.15a16	F	Mejor	Todos o casi todos los días	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 1 y 3 horas	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	70	73	72	68	69	353	MAÑANA	NO OFICIAL	URBANO	Estrato 3	Edad.15a16	M	Igual	Todos o casi todos los días	26 A 100 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	No	VEH.Sí	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Alto	Urbano/No_Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	4	3	60	60	59	50	54	285	MAÑANA	NO OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	3 a 5 veces por semana	11 A 25 LIBROS	30 minutos o menos	Más de 3 horas	Si	VEH.Sí	Edu.Técnico	HAC.NO	NoTrabaja	Glo.MAlto	Urbano/No_Oficial
COLOMBIA	TOLIMA	ORTEGA	ESTUDIANTE	1	1	48	47	39	29	37	202	TARDE	OFICIAL	RURAL	Estrato 2	Edad.15a16	F	Mejor	3 a 5 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Rural/Oficial
COLOMBIA	TOLIMA	SAN SEBASTIÁN DE MARIQUITA	ESTUDIANTE	2	2	39	50	39	40	47	212	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	M	Mejor	Todos o casi todos los días	0 A 10 LIBROS	No leo por entretenimiento	Entre 1 y 3 horas	No	VEH.Sí	Edu.Bachiller	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	ESPINAL	ESTUDIANTE	1	3	58	60	61	64	48	299	MAÑANA	NO OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	1 o 2 veces por semana	0 A 10 LIBROS	30 minutos o menos	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Bachiller	HAC.NO	Trabaja	Glo.Alto	Urbano/No_Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	2	3	59	64	66	64	51	312	UNICA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Igual	1 o 2 veces por semana	26 A 100 LIBROS	Entre 1 y 2 horas	Entre 1 y 3 horas	Si	VEH.No	Edu.Técnico	HAC.NO	Trabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	CHAPARRAL	ESTUDIANTE	1	2	45	41	47	36	39	210	MAÑANA	OFICIAL	URBANO	Estrato 1	Edad.15a16	F	Igual	3 a 5 veces por semana	0 A 10 LIBROS	30 minutos o menos	No Navega Internet	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	MELGAR	ESTUDIANTE	2	2	43	27	34	27	31	163	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Mejor	1 o 2 veces por semana	0 A 10 LIBROS	Entre 30 y 60 minutos	Entre 30 y 60 minutos	No	VEH.Sí	Edu.Bachiller	HAC.NO	NoTrabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	CHAPARRAL	ESTUDIANTE	1	2	44	49	43	32	48	212	UNICA	OFICIAL	URBANO	Estrato 2	Edad.17a18	F	Igual	1 o 2 veces por semana	0 A 10 LIBROS	Entre 1 y 2 horas	Entre 30 y 60 minutos	No	VEH.No	Edu.Primaria	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
COLOMBIA	TOLIMA	SALDAÑA	ESTUDIANTE	2	2	53	53	49	53	49	259	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	F	Peor	1 o 2 veces por semana	0 A 10 LIBROS	No leo por entretenimiento	30 minutos o menos	No	VEH.Sí	Edu.Técnico	HAC.NO	Trabaja	Glo.MAlto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	70	70	64	60	100	343	MAÑANA	OFICIAL	URBANO	Estrato 3	Edad.17a18	F	Igual	Todos o casi todos los días	26 A 100 LIBROS	30 minutos o menos	Entre 1 y 3 horas	Si	VEH.No	Edu.Profesional	HAC.NO	NoTrabaja	Glo.Alto	Urbano/Oficial
COLOMBIA	TOLIMA	IBAGUÉ	ESTUDIANTE	3	3	38	39	38	27	46	182	MAÑANA	OFICIAL	URBANO	Estrato 2	Edad.15a16	M	Mejor	Todos o casi todos los días	11 A 25 LIBROS	Entre 30 y 60 minutos	Entre 1 y 3 horas	Si	VEH.Sí	Edu.Profesional	HAC.NO	Trabaja	Glo.Bajo	Urbano/Oficial
